date,state,industry,base,vi_heavy,equal,vi_max,wpi_heavy
2026Q1,Queensland,Accommodation and Food Services,44.08,47.18,41.70,50.29,43.00
2026Q1,Victoria,Accommodation and Food Services,42.65,44.90,40.90,47.14,42.24
2026Q1,New South Wales,Accommodation and Food Services,38.81,40.71,37.27,42.61,38.98
2026Q1,Victoria,Health Care and Social Assistance,38.30,35.86,39.84,33.43,42.27
2026Q1,Queensland,Health Care and Social Assistance,37.69,36.15,38.57,34.61,41.19
2026Q1,Queensland,"Professional, Scientific and Technical Services",36.83,37.33,36.33,37.82,37.85
2026Q1,New South Wales,Health Care and Social Assistance,35.19,32.92,36.58,30.65,39.38
2026Q1,Queensland,Manufacturing,34.39,33.68,34.69,32.97,36.95
2026Q1,Victoria,"Professional, Scientific and Technical Services",29.03,28.21,29.42,27.39,31.62
2026Q1,Queensland,Construction,28.11,26.73,28.86,25.35,31.71
